BATHYMETRY 10
NUM_LAYES
        33
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1            -14.0000            -14.5000          9068424.50          4555267.00             8000.00             8000.00
         2            -13.5000            -14.0000          9068424.50          9068424.50             8000.00             8000.00
         3            -13.0000            -13.5000         14184524.50          9068424.50             8000.00             8000.00
         4            -12.5000            -13.0000         18429517.00         14184524.50             8000.00             8000.00
         5            -12.0000            -12.5000         18429517.00         18429517.00             8000.00             8000.00
         6            -11.5000            -12.0000         28897284.00         18429517.00             8000.00             8000.00
         7            -11.0000            -11.5000         28897284.00         28897284.00             8000.00             8000.00
         8            -10.5000            -11.0000         28897284.00         28897284.00             8000.00             8000.00
         9            -10.0000            -10.5000         28897284.00         28897284.00             8000.00             8000.00
        10             -9.5000            -10.0000         37064785.00         28897284.00             8000.00             8000.00
        11             -9.0000             -9.5000         40773528.20         37064785.00             8000.00             8000.00
        12             -8.5000             -9.0000         40773528.20         40773528.20             8000.00             8000.00
        13             -8.0000             -8.5000         40773528.20         40773528.20             8000.00             8000.00
        14             -7.5000             -8.0000         40773528.20         40773528.20             8000.00             8000.00
        15             -7.0000             -7.5000         40773528.20         40773528.20             8000.00             8000.00
        16             -6.5000             -7.0000         40773528.20         40773528.20             8000.00             8000.00
        17             -6.0000             -6.5000         40773528.20         40773528.20             8000.00             8000.00
        18             -5.5000             -6.0000         40773528.20         40773528.20             8000.00             8000.00
        19             -5.0000             -5.5000         40773528.20         40773528.20             8000.00             8000.00
        20             -4.5000             -5.0000         40773528.20         40773528.20             8000.00             8000.00
        21             -4.0000             -4.5000         40773528.20         40773528.20             8000.00             8000.00
        22             -3.5000             -4.0000         40773528.20         40773528.20             8000.00             8000.00
        23             -3.0000             -3.5000         40773528.20         40773528.20             8000.00             8000.00
        24             -2.5000             -3.0000         40773528.20         40773528.20             8000.00             8000.00
        25             -2.0000             -2.5000         40773528.20         40773528.20             8000.00             8000.00
        26             -1.5000             -2.0000         40773528.20         40773528.20             8000.00             8000.00
        27             -1.0000             -1.5000         40773528.20         40773528.20             8000.00             8000.00
        28             -0.5000             -1.0000         40773528.20         40773528.20             8000.00             8000.00
        29              0.0000             -0.5000         40773528.20         40773528.20             8000.00             8000.00
        30              0.5000              0.0000         40773528.20         40773528.20             8000.00             8000.00
        31              1.0000              0.5000         40773528.20         40773528.20             8000.00             8000.00
        32              1.5000              1.0000         40773528.20         40773528.20             8000.00             8000.00
        33              2.0000              1.5000         40773528.20         40773528.20             8000.00             8000.00
