BATHYMETRY 12
NUM_LAYES
        70
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1            -32.5000            -33.0000         10094013.50          5075860.00             8000.00             8000.00
         2            -32.0000            -32.5000         15118529.50         10094013.50             8000.00             8000.00
         3            -31.5000            -32.0000         15118529.50         15118529.50             8000.00             8000.00
         4            -31.0000            -31.5000         20285342.00         15118529.50             8000.00             8000.00
         5            -30.5000            -31.0000         35757118.00         20285342.00             8000.00             8000.00
         6            -30.0000            -30.5000         35757118.00         35757118.00             8000.00             8000.00
         7            -29.5000            -30.0000         35757118.00         35757118.00             8000.00             8000.00
         8            -29.0000            -29.5000         35757118.00         35757118.00             8000.00             8000.00
         9            -28.5000            -29.0000         56295282.50         35757118.00             8000.00             8000.00
        10            -28.0000            -28.5000         71452631.00         56295282.50             8000.00             8000.00
        11            -27.5000            -28.0000         82909479.00         71452631.00             8000.00             8000.00
        12            -27.0000            -27.5000         87815105.00         82909479.00             8000.00             8000.00
        13            -26.5000            -27.0000        102563869.50         87815105.00             8000.00             8000.00
        14            -26.0000            -26.5000        112320224.00        102563869.50             8000.00             8000.00
        15            -25.5000            -26.0000        123445259.00        112320224.00             8000.00             8000.00
        16            -25.0000            -25.5000        144569723.50        123445259.00             8000.00             8000.00
        17            -24.5000            -25.0000        154492206.50        144569723.50             8000.00             8000.00
        18            -24.0000            -24.5000        160520087.50        154492206.50             8000.00             8000.00
        19            -23.5000            -24.0000        171124602.00        160520087.50             8000.00             8000.00
        20            -23.0000            -23.5000        186176858.50        171124602.00             8000.00             8000.00
        21            -22.5000            -23.0000        199728210.00        186176858.50             8000.00             8000.00
        22            -22.0000            -22.5000        209531859.00        199728210.00             8000.00             8000.00
        23            -21.5000            -22.0000        223914576.00        209531859.00             8000.00             8000.00
        24            -21.0000            -21.5000        237859976.80        223914576.00             8000.00             8000.00
        25            -20.5000            -21.0000        249727247.90        237859976.80             8000.00             8000.00
        26            -20.0000            -20.5000        273871252.40        249727247.90             8000.00             8000.00
        27            -19.5000            -20.0000        288614031.40        273871252.40             8000.00             8000.00
        28            -19.0000            -19.5000        301297571.60        288614031.40             8000.00             8000.00
        29            -18.5000            -19.0000        321212552.60        301297571.60             8000.00             8000.00
        30            -18.0000            -18.5000        333837318.70        321212552.60             8000.00             8000.00
        31            -17.5000            -18.0000        356101156.70        333837318.70             8000.00             8000.00
        32            -17.0000            -17.5000        376591296.00        356101156.70             8000.00             8000.00
        33            -16.5000            -17.0000        387767569.30        376591296.00             8000.00             8000.00
        34            -16.0000            -16.5000        394201166.10        387767569.30             8000.00             8000.00
        35            -15.5000            -16.0000        399760410.10        394201166.10             8000.00             8000.00
        36            -15.0000            -15.5000        409771670.60        399760410.10             8000.00             8000.00
        37            -14.5000            -15.0000        412203267.60        409771670.60             8000.00             8000.00
        38            -14.0000            -14.5000        413897756.10        412203267.60             8000.00             8000.00
        39            -13.5000            -14.0000        417914099.10        413897756.10             8000.00             8000.00
        40            -13.0000            -13.5000        422641996.10        417914099.10             8000.00             8000.00
        41            -12.5000            -13.0000        428830437.30        422641996.10             8000.00             8000.00
        42            -12.0000            -12.5000        428830437.30        428830437.30             8000.00             8000.00
        43            -11.5000            -12.0000        428830437.30        428830437.30             8000.00             8000.00
        44            -11.0000            -11.5000        436308020.50        428830437.30             8000.00             8000.00
        45            -10.5000            -11.0000        440411368.50        436308020.50             8000.00             8000.00
        46            -10.0000            -10.5000        452107143.50        440411368.50             8000.00             8000.00
        47             -9.5000            -10.0000        455704591.70        452107143.50             8000.00             8000.00
        48             -9.0000             -9.5000        455704591.70        455704591.70             8000.00             8000.00
        49             -8.5000             -9.0000        455704591.70        455704591.70             8000.00             8000.00
        50             -8.0000             -8.5000        455704591.70        455704591.70             8000.00             8000.00
        51             -7.5000             -8.0000        459217176.00        455704591.70             8000.00             8000.00
        52             -7.0000             -7.5000        459217176.00        459217176.00             8000.00             8000.00
        53             -6.5000             -7.0000        459217176.00        459217176.00             8000.00             8000.00
        54             -6.0000             -6.5000        459217176.00        459217176.00             8000.00             8000.00
        55             -5.5000             -6.0000        459217176.00        459217176.00             8000.00             8000.00
        56             -5.0000             -5.5000        459217176.00        459217176.00             8000.00             8000.00
        57             -4.5000             -5.0000        459217176.00        459217176.00             8000.00             8000.00
        58             -4.0000             -4.5000        459217176.00        459217176.00             8000.00             8000.00
        59             -3.5000             -4.0000        459217176.00        459217176.00             8000.00             8000.00
        60             -3.0000             -3.5000        459217176.00        459217176.00             8000.00             8000.00
        61             -2.5000             -3.0000        459217176.00        459217176.00             8000.00             8000.00
        62             -2.0000             -2.5000        459217176.00        459217176.00             8000.00             8000.00
        63             -1.5000             -2.0000        459217176.00        459217176.00             8000.00             8000.00
        64             -1.0000             -1.5000        459217176.00        459217176.00             8000.00             8000.00
        65             -0.5000             -1.0000        459217176.00        459217176.00             8000.00             8000.00
        66              0.0000             -0.5000        459217176.00        459217176.00             8000.00             8000.00
        67              0.5000              0.0000        459217176.00        459217176.00             8000.00             8000.00
        68              1.0000              0.5000        459217176.00        459217176.00             8000.00             8000.00
        69              1.5000              1.0000        459217176.00        459217176.00             8000.00             8000.00
        70              2.0000              1.5000        459217176.00        459217176.00             8000.00             8000.00
