BATHYMETRY 7
NUM_LAYES
        29
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1            -12.0000            -12.5000           855404.44           507421.58             8000.00             8000.00
         2            -11.5000            -12.0000          1024226.76           855404.44             8000.00             8000.00
         3            -11.0000            -11.5000          1506692.53          1024226.76             8000.00             8000.00
         4            -10.5000            -11.0000          2614803.93          1506692.53             8000.00             8000.00
         5            -10.0000            -10.5000          2933019.54          2614803.93             8000.00             8000.00
         6             -9.5000            -10.0000          3467403.86          2933019.54             8000.00             8000.00
         7             -9.0000             -9.5000          3896495.09          3467403.86             8000.00             8000.00
         8             -8.5000             -9.0000          3967444.84          3896495.09             8000.00             8000.00
         9             -8.0000             -8.5000          3967444.84          3967444.84             8000.00             8000.00
        10             -7.5000             -8.0000          3967444.84          3967444.84             8000.00             8000.00
        11             -7.0000             -7.5000          3967444.84          3967444.84             8000.00             8000.00
        12             -6.5000             -7.0000          3967444.84          3967444.84             8000.00             8000.00
        13             -6.0000             -6.5000          3967444.84          3967444.84             8000.00             8000.00
        14             -5.5000             -6.0000          3967444.84          3967444.84             8000.00             8000.00
        15             -5.0000             -5.5000          3967444.84          3967444.84             8000.00             8000.00
        16             -4.5000             -5.0000          3967444.84          3967444.84             8000.00             8000.00
        17             -4.0000             -4.5000          3967444.84          3967444.84             8000.00             8000.00
        18             -3.5000             -4.0000          3967444.84          3967444.84             8000.00             8000.00
        19             -3.0000             -3.5000          3967444.84          3967444.84             8000.00             8000.00
        20             -2.5000             -3.0000          3967444.84          3967444.84             8000.00             8000.00
        21             -2.0000             -2.5000          3967444.84          3967444.84             8000.00             8000.00
        22             -1.5000             -2.0000          3967444.84          3967444.84             8000.00             8000.00
        23             -1.0000             -1.5000          3967444.84          3967444.84             8000.00             8000.00
        24             -0.5000             -1.0000          3967444.84          3967444.84             8000.00             8000.00
        25              0.0000             -0.5000          3967444.84          3967444.84             8000.00             8000.00
        26              0.5000              0.0000          3967444.84          3967444.84             8000.00             8000.00
        27              1.0000              0.5000          3967444.84          3967444.84             8000.00             8000.00
        28              1.5000              1.0000          3967444.84          3967444.84             8000.00             8000.00
        29              2.0000              1.5000          3967444.84          3967444.84             8000.00             8000.00
