BATHYMETRY 16
NUM_LAYES
        34
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1            -14.5000            -15.0000          3658181.00          3658181.00             8000.00             8000.00
         2            -14.0000            -14.5000          6801255.00          3658181.00             8000.00             8000.00
         3            -13.5000            -14.0000          6801255.00          6801255.00             8000.00             8000.00
         4            -13.0000            -13.5000          9126870.50          6801255.00             8000.00             8000.00
         5            -12.5000            -13.0000          9126870.50          9126870.50             8000.00             8000.00
         6            -12.0000            -12.5000         11109321.90          9126870.50             8000.00             8000.00
         7            -11.5000            -12.0000         14489616.20         11109321.90             8000.00             8000.00
         8            -11.0000            -11.5000         16151009.00         14489616.20             8000.00             8000.00
         9            -10.5000            -11.0000         18623015.80         16151009.00             8000.00             8000.00
        10            -10.0000            -10.5000         18623015.80         18623015.80             8000.00             8000.00
        11             -9.5000            -10.0000         20638662.80         18623015.80             8000.00             8000.00
        12             -9.0000             -9.5000         20638662.80         20638662.80             8000.00             8000.00
        13             -8.5000             -9.0000         23148850.00         20638662.80             8000.00             8000.00
        14             -8.0000             -8.5000         24567559.40         23148850.00             8000.00             8000.00
        15             -7.5000             -8.0000         28835207.00         24567559.40             8000.00             8000.00
        16             -7.0000             -7.5000         30115134.80         28835207.00             8000.00             8000.00
        17             -6.5000             -7.0000         31641842.80         30115134.80             8000.00             8000.00
        18             -6.0000             -6.5000         33251210.00         31641842.80             8000.00             8000.00
        19             -5.5000             -6.0000         37084151.10         33251210.00             8000.00             8000.00
        20             -5.0000             -5.5000         37084151.10         37084151.10             8000.00             8000.00
        21             -4.5000             -5.0000         37084151.10         37084151.10             8000.00             8000.00
        22             -4.0000             -4.5000         37084151.10         37084151.10             8000.00             8000.00
        23             -3.5000             -4.0000         37084151.10         37084151.10             8000.00             8000.00
        24             -3.0000             -3.5000         37084151.10         37084151.10             8000.00             8000.00
        25             -2.5000             -3.0000         37084151.10         37084151.10             8000.00             8000.00
        26             -2.0000             -2.5000         37084151.10         37084151.10             8000.00             8000.00
        27             -1.5000             -2.0000         37084151.10         37084151.10             8000.00             8000.00
        28             -1.0000             -1.5000         37084151.10         37084151.10             8000.00             8000.00
        29             -0.5000             -1.0000         37084151.10         37084151.10             8000.00             8000.00
        30              0.0000             -0.5000         37084151.10         37084151.10             8000.00             8000.00
        31              0.5000              0.0000         37084151.10         37084151.10             8000.00             8000.00
        32              1.0000              0.5000         37084151.10         37084151.10             8000.00             8000.00
        33              1.5000              1.0000         37084151.10         37084151.10             8000.00             8000.00
        34              2.0000              1.5000         37084151.10         37084151.10             8000.00             8000.00
