BATHYMETRY 13
NUM_LAYES
        44
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1            -19.5000            -20.0000         13184469.58          7808673.80             8000.00             8000.00
         2            -19.0000            -19.5000         13184469.58         13184469.58             8000.00             8000.00
         3            -18.5000            -19.0000         17728341.42         13184469.58             8000.00             8000.00
         4            -18.0000            -18.5000         20668602.22         17728341.42             8000.00             8000.00
         5            -17.5000            -18.0000         26083501.82         20668602.22             8000.00             8000.00
         6            -17.0000            -17.5000         26792005.57         26083501.82             8000.00             8000.00
         7            -16.5000            -17.0000         28520455.35         26792005.57             8000.00             8000.00
         8            -16.0000            -16.5000         29833362.73         28520455.35             8000.00             8000.00
         9            -15.5000            -16.0000         31308147.53         29833362.73             8000.00             8000.00
        10            -15.0000            -15.5000         33711281.47         31308147.53             8000.00             8000.00
        11            -14.5000            -15.0000         35170952.97         33711281.47             8000.00             8000.00
        12            -14.0000            -14.5000         35744668.85         35170952.97             8000.00             8000.00
        13            -13.5000            -14.0000         46231724.46         35744668.85             8000.00             8000.00
        14            -13.0000            -13.5000         47411284.35         46231724.46             8000.00             8000.00
        15            -12.5000            -13.0000         52584590.46         47411284.35             8000.00             8000.00
        16            -12.0000            -12.5000         53818547.47         52584590.46             8000.00             8000.00
        17            -11.5000            -12.0000         58662947.37         53818547.47             8000.00             8000.00
        18            -11.0000            -11.5000         60282911.79         58662947.37             8000.00             8000.00
        19            -10.5000            -11.0000         62002638.88         60282911.79             8000.00             8000.00
        20            -10.0000            -10.5000         63255048.03         62002638.88             8000.00             8000.00
        21             -9.5000            -10.0000         63715322.52         63255048.03             8000.00             8000.00
        22             -9.0000             -9.5000         64343625.27         63715322.52             8000.00             8000.00
        23             -8.5000             -9.0000         64343625.27         64343625.27             8000.00             8000.00
        24             -8.0000             -8.5000         65284669.71         64343625.27             8000.00             8000.00
        25             -7.5000             -8.0000         65804553.09         65284669.71             8000.00             8000.00
        26             -7.0000             -7.5000         66396636.21         65804553.09             8000.00             8000.00
        27             -6.5000             -7.0000         66396636.21         66396636.21             8000.00             8000.00
        28             -6.0000             -6.5000         66396636.21         66396636.21             8000.00             8000.00
        29             -5.5000             -6.0000         66396636.21         66396636.21             8000.00             8000.00
        30             -5.0000             -5.5000         66396636.21         66396636.21             8000.00             8000.00
        31             -4.5000             -5.0000         66396636.21         66396636.21             8000.00             8000.00
        32             -4.0000             -4.5000         66396636.21         66396636.21             8000.00             8000.00
        33             -3.5000             -4.0000         66396636.21         66396636.21             8000.00             8000.00
        34             -3.0000             -3.5000         66396636.21         66396636.21             8000.00             8000.00
        35             -2.5000             -3.0000         66396636.21         66396636.21             8000.00             8000.00
        36             -2.0000             -2.5000         66396636.21         66396636.21             8000.00             8000.00
        37             -1.5000             -2.0000         66396636.21         66396636.21             8000.00             8000.00
        38             -1.0000             -1.5000         66396636.21         66396636.21             8000.00             8000.00
        39             -0.5000             -1.0000         66396636.21         66396636.21             8000.00             8000.00
        40              0.0000             -0.5000         66396636.21         66396636.21             8000.00             8000.00
        41              0.5000              0.0000         66396636.21         66396636.21             8000.00             8000.00
        42              1.0000              0.5000         66396636.21         66396636.21             8000.00             8000.00
        43              1.5000              1.0000         66396636.21         66396636.21             8000.00             8000.00
        44              2.0000              1.5000         66396636.21         66396636.21             8000.00             8000.00
