BATHYMETRY 4
NUM_LAYES
        48
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1            -21.5000            -22.0000          3903161.00          3903161.00             8000.00             8000.00
         2            -21.0000            -21.5000          3903161.00          3903161.00             8000.00             8000.00
         3            -20.5000            -21.0000          7018767.20          3903161.00             8000.00             8000.00
         4            -20.0000            -20.5000         14767704.00          7018767.20             8000.00             8000.00
         5            -19.5000            -20.0000         14767704.00         14767704.00             8000.00             8000.00
         6            -19.0000            -19.5000         14767704.00         14767704.00             8000.00             8000.00
         7            -18.5000            -19.0000         14767704.00         14767704.00             8000.00             8000.00
         8            -18.0000            -18.5000         19158079.50         14767704.00             8000.00             8000.00
         9            -17.5000            -18.0000         23324746.00         19158079.50             8000.00             8000.00
        10            -17.0000            -17.5000         23324746.00         23324746.00             8000.00             8000.00
        11            -16.5000            -17.0000         23324746.00         23324746.00             8000.00             8000.00
        12            -16.0000            -16.5000         23324746.00         23324746.00             8000.00             8000.00
        13            -15.5000            -16.0000         23324746.00         23324746.00             8000.00             8000.00
        14            -15.0000            -15.5000         32630034.40         23324746.00             8000.00             8000.00
        15            -14.5000            -15.0000         32630034.40         32630034.40             8000.00             8000.00
        16            -14.0000            -14.5000         32630034.40         32630034.40             8000.00             8000.00
        17            -13.5000            -14.0000         32630034.40         32630034.40             8000.00             8000.00
        18            -13.0000            -13.5000         37045985.60         32630034.40             8000.00             8000.00
        19            -12.5000            -13.0000         37045985.60         37045985.60             8000.00             8000.00
        20            -12.0000            -12.5000         41932641.20         37045985.60             8000.00             8000.00
        21            -11.5000            -12.0000         49533364.80         41932641.20             8000.00             8000.00
        22            -11.0000            -11.5000         49533364.80         49533364.80             8000.00             8000.00
        23            -10.5000            -11.0000         49533364.80         49533364.80             8000.00             8000.00
        24            -10.0000            -10.5000         49533364.80         49533364.80             8000.00             8000.00
        25             -9.5000            -10.0000         49533364.80         49533364.80             8000.00             8000.00
        26             -9.0000             -9.5000         53598428.40         49533364.80             8000.00             8000.00
        27             -8.5000             -9.0000         53598428.40         53598428.40             8000.00             8000.00
        28             -8.0000             -8.5000         56194142.30         53598428.40             8000.00             8000.00
        29             -7.5000             -8.0000         59267747.88         56194142.30             8000.00             8000.00
        30             -7.0000             -7.5000         62735436.98         59267747.88             8000.00             8000.00
        31             -6.5000             -7.0000         66164955.98         62735436.98             8000.00             8000.00
        32             -6.0000             -6.5000         69705712.88         66164955.98             8000.00             8000.00
        33             -5.5000             -6.0000         70988917.98         69705712.88             8000.00             8000.00
        34             -5.0000             -5.5000         72569160.58         70988917.98             8000.00             8000.00
        35             -4.5000             -5.0000         75194402.88         72569160.58             8000.00             8000.00
        36             -4.0000             -4.5000         75194402.88         75194402.88             8000.00             8000.00
        37             -3.5000             -4.0000         75194402.88         75194402.88             8000.00             8000.00
        38             -3.0000             -3.5000         75194402.88         75194402.88             8000.00             8000.00
        39             -2.5000             -3.0000         75194402.88         75194402.88             8000.00             8000.00
        40             -2.0000             -2.5000         75194402.88         75194402.88             8000.00             8000.00
        41             -1.5000             -2.0000         75194402.88         75194402.88             8000.00             8000.00
        42             -1.0000             -1.5000         75194402.88         75194402.88             8000.00             8000.00
        43             -0.5000             -1.0000         75194402.88         75194402.88             8000.00             8000.00
        44              0.0000             -0.5000         75194402.88         75194402.88             8000.00             8000.00
        45              0.5000              0.0000         75194402.88         75194402.88             8000.00             8000.00
        46              1.0000              0.5000         75194402.88         75194402.88             8000.00             8000.00
        47              1.5000              1.0000         75194402.88         75194402.88             8000.00             8000.00
        48              2.0000              1.5000         75194402.88         75194402.88             8000.00             8000.00
