BATHYMETRY 11
NUM_LAYES
        25
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1            -10.0000            -10.5000           617725.39            76629.46             8000.00             8000.00
         2             -9.5000            -10.0000          1743675.01           617725.39             8000.00             8000.00
         3             -9.0000             -9.5000          1954485.39          1743675.01             8000.00             8000.00
         4             -8.5000             -9.0000          2288933.81          1954485.39             8000.00             8000.00
         5             -8.0000             -8.5000          2498434.80          2288933.81             8000.00             8000.00
         6             -7.5000             -8.0000          2727541.93          2498434.80             8000.00             8000.00
         7             -7.0000             -7.5000          2812275.42          2727541.93             8000.00             8000.00
         8             -6.5000             -7.0000          3155879.68          2812275.42             8000.00             8000.00
         9             -6.0000             -6.5000          3340182.60          3155879.68             8000.00             8000.00
        10             -5.5000             -6.0000          3681224.79          3340182.60             8000.00             8000.00
        11             -5.0000             -5.5000          4071669.57          3681224.79             8000.00             8000.00
        12             -4.5000             -5.0000          4491329.93          4071669.57             8000.00             8000.00
        13             -4.0000             -4.5000          4699196.31          4491329.93             8000.00             8000.00
        14             -3.5000             -4.0000          5564162.18          4699196.31             8000.00             8000.00
        15             -3.0000             -3.5000          5564162.18          5564162.18             8000.00             8000.00
        16             -2.5000             -3.0000          5564162.18          5564162.18             8000.00             8000.00
        17             -2.0000             -2.5000          5564162.18          5564162.18             8000.00             8000.00
        18             -1.5000             -2.0000          5564162.18          5564162.18             8000.00             8000.00
        19             -1.0000             -1.5000          5564162.18          5564162.18             8000.00             8000.00
        20             -0.5000             -1.0000          5564162.18          5564162.18             8000.00             8000.00
        21              0.0000             -0.5000          5564162.18          5564162.18             8000.00             8000.00
        22              0.5000              0.0000          5564162.18          5564162.18             8000.00             8000.00
        23              1.0000              0.5000          5564162.18          5564162.18             8000.00             8000.00
        24              1.5000              1.0000          5564162.18          5564162.18             8000.00             8000.00
        25              2.0000              1.5000          5564162.18          5564162.18             8000.00             8000.00
