           TIME,                NH4N,                NO3N,                PO4P,                DOXY,                DIAC,                ZOOC,                ZOON,                ZOOP,                DETC,                DETN,                DETP,                 DOC,                 DON,                 DOP,          NOFIX_CYNC,                 OPA,    DISSOLVED_SILICA,  PARTICULATE_SILICA,            FIX_CYNC,                 DIC,          ALKALINITY
       1.000000,        0.0500000007,        0.5000000000,        0.0469999984,       14.0000000000,        1.7500000000,        0.0199999996,        0.0000000000,        0.0000000000,        6.5000000000,        1.0000000000,        0.0149999997,        8.0000000000,        1.5000000000,        0.0250000004,        0.0599999987,        0.0219999999,        3.0000000000,        1.5000000000,        0.0000000000,        0.0027000001,        0.0027000001
       1.041667,        0.0488718903,        0.4995703035,        0.0468865457,       14.0321761240,        1.6978818827,        0.0200008148,        0.0000323572,        0.0000033969,        6.5686056478,        1.0142663617,        0.0166301347,        7.9998153340,        1.4974802390,        0.0246728257,        0.0618510185,        0.0228430613,        2.9947692144,        1.5724910621,        0.0000000406,        0.0026979650,        0.0026999850
       1.083333,        0.0478081218,        0.4991159063,        0.0467717930,       14.0636807099,        1.6475862825,        0.0200023312,        0.0000646762,        0.0000067958,        6.6350291100,        1.0280501199,        0.0181994117,        7.9996313246,        1.4949703060,        0.0243605131,        0.0638004357,        0.0237356635,        2.9896325797,        1.6427905230,       -0.0000003279,        0.0026959544,        0.0026999764
