day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
18,2.38207,0.06860,0.07399,3.23767,0.08108,0.26079,0.09276,0.22881,0.16802,2.77540,0.22418,3.30625,3.13287,0.15019,0.22708,2.95167,0.19638,0.17986,0.16910,0.16798,0.22976,0.16569,0.21633,0.08053,0.13965,0.10877,0.17820,0.16808,0.10857
19,2.53310,0.11214,0.10726,3.13975,0.12336,0.29956,0.61421,0.29697,0.21404,2.64428,0.36963,3.26110,3.12248,0.21522,0.30833,3.00806,0.30561,0.27263,0.24594,0.30254,0.28169,0.29357,0.26525,0.10910,0.19370,0.15693,0.22281,0.20808,0.16881
20,2.77512,0.03464,0.01497,3.16517,0.02627,0.20974,0.22059,0.20212,0.09220,2.59883,0.24970,3.28882,3.00320,0.06786,0.15091,3.02962,0.15501,0.08066,0.07532,0.15441,0.15091,0.11604,0.16625,0.01230,0.06999,0.02258,0.10691,0.14113,0.10189
21,2.44706,0.02259,0.02108,3.11141,0.01829,0.10240,0.34709,0.10448,0.03507,2.59401,0.07547,3.19641,2.87768,0.02133,0.02716,2.91482,0.02608,0.02639,0.02497,0.01816,0.03524,0.01710,0.07291,0.02009,0.02098,0.02395,0.03001,0.08653,0.05684
22,2.49076,0.01051,0.00637,3.03842,0.00635,0.05626,2.79695,0.07044,0.02189,2.58923,1.93856,3.11211,3.00438,0.02458,0.03128,2.90178,0.05631,0.06379,0.03178,0.84107,0.02746,0.90731,0.03853,0.01949,0.01863,0.02100,0.01297,0.06395,0.04113
23,2.64354,-0.00235,-0.00238,3.08094,-0.00263,-0.00221,2.33521,-0.00305,-0.00362,2.38987,1.51530,3.13365,2.98849,-0.00351,-0.00548,2.87522,-0.00224,0.00067,-0.00375,0.44273,-0.00543,0.50172,-0.00511,-0.00352,-0.00393,-0.00318,-0.00336,0.00207,0.00083
24,2.72337,0.00680,0.00379,3.16011,0.00315,0.00207,0.35114,0.00065,-0.00043,2.47451,0.09962,3.16719,3.01301,0.00067,-0.00007,2.82516,-0.00058,0.00085,0.00119,-0.00624,-0.00060,-0.00796,-0.00071,-0.00445,-0.00099,-0.00209,0.00143,0.00359,0.01117
25,2.46504,0.02085,0.01157,3.01466,0.01321,0.01139,-0.00920,0.01060,0.01063,2.46983,0.03504,3.07535,2.86009,0.01735,0.01891,2.60446,0.02048,0.02661,0.02362,0.01788,0.01342,0.02166,0.00994,-0.00574,0.01023,0.00666,0.01154,0.01449,0.03313
26,2.00437,0.06852,0.06090,2.54933,0.05802,0.04943,-0.00596,0.05164,0.05548,2.15061,0.00838,2.75100,2.55973,0.06269,0.06782,2.12382,0.07255,0.08337,0.07932,0.05849,0.05596,0.06553,0.04636,-0.00573,0.04940,0.04273,0.05295,0.05143,0.08468
27,1.67482,0.13124,0.13239,1.91090,0.11530,0.09688,-0.00591,0.10365,0.11760,1.68013,0.01047,2.23923,2.05898,0.11093,0.11911,1.52386,0.12448,0.13992,0.13769,0.09918,0.10355,0.10716,0.08908,-0.00573,0.10219,0.09199,0.10420,0.09855,0.14856
28,1.37287,0.20333,0.21413,1.41548,0.18106,0.15134,-0.00513,0.16450,0.19052,1.13592,0.03320,1.75744,1.56700,0.16745,0.18037,1.03808,0.18668,0.20990,0.20671,0.15168,0.15843,0.16181,0.14000,-0.00571,0.16509,0.14309,0.16250,0.15262,0.21913
29,1.06796,0.28085,0.30179,1.18672,0.25057,0.21000,-0.00615,0.22988,0.26822,0.75143,0.05304,1.51775,1.30627,0.23027,0.24791,0.60675,0.25597,0.28691,0.28382,0.20921,0.21852,0.22251,0.19636,-0.00570,0.23283,0.19191,0.22485,0.21056,0.29344
