day,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100
925,10094460.1200,27129679.2000,44000301.6000,12462491.1600,18863355.6000,14899641.1200,40197783.6000,2416958.6400,53400153.6000,520.7249,25965403.2000,68287813.2000,40704040.8000,0.0000,100421258.4000,0.0000,42207073.2000,15322862.4480,9132257.5200,70499764.8000,39508308.0000,9231916.1760,6321536.0280,4070638.9440,47480936.4000,2881885.8852,2627275.3920,1836986.4000,42008814.0000,6872100.8400,17565214.6800,0.0000,26900234.5680,165747.8880,13070823.9984,6087187.8000,18055608.7680,174684.6360,71245612.8000,878676.8400,1954295.6040,44151123.6000,0.0000,20534540.7600,60036920.2800,142752.2760,3381265.4040,16403047.5600,61455611.8800,161060.9760,74080335.6000,248021.8560,13740508.8000,24921548.2800,53986213.4400,0.0000,61751099.8800,0.0000,13996090.0080,621252.5432,69097132.8000,0.0000,65540100.6000,0.0000,33245096.4000,36936909.7200,65544127.2000,0.0000,130701650.4000,0.0000,130338392.4000,0.0000,509024.1456,547064532.0000,415878912.0000,39526838.8200,297249998.4000,3731068.8000,156003250.6800,25464652.2000,259053804.0000,132913191.6000,38019479.4000,327870720.0000,0.0000,264599712.0000,0.0000,268503228.0000,159632856.0000,0.0000,3449314080.0000,3505006440.0000,18873460.8000,0.0000,1044516.2400,0.0000,7399609.5600,0.0000,1542709.0800,0.0000
926,27579866.4000,9535479.0120,10692724.8672,22751724.2400,14040915.5160,4694083.4880,8004524.3640,24473367.6840,12944111.1840,17408217.7080,52459419.6000,20170837.4724,9085649.8212,9601496.2800,23825794.4280,26432190.3600,53305448.4000,14477721.9840,14935645.0800,18663667.5384,34922682.0000,2956146.9624,10363196.6640,1349515.1580,12653193.9780,17188931.7000,2967199.0200,1811408.3640,13518596.5560,12667395.4560,6819116.1480,2322620.4096,23131288.8000,0.0000,13092819.0408,2113778.1139,14054293.4400,0.0000,33667630.9200,6350560.2504,4449827.3508,32772618.0000,0.0000,22690506.9600,44352054.0000,10648.3680,1996820.8776,8317908.7920,25720605.0000,3546393.2820,45246106.8000,0.0000,12862524.2400,12655839.6000,24829801.2360,1254105.4486,32555261.5200,28077.9480,13637981.8800,151060.0860,37927397.8800,7163.9568,34930805.5800,36155.2680,17548715.8800,19428764.0400,36599262.1200,78.6773,71849981.8800,26005.8960,72097915.6800,20964.6000,0.0000,455973480.0000,259713072.0000,88002712.8000,360993456.0000,0.0000,196619457.6000,0.0000,264921336.0000,65248110.3240,0.0000,367264728.0000,3504407.2560,86901274.8000,31749798.2400,112432219.2000,166630068.0000,0.0000,3852169200.0000,3975645960.0000,21511634.4000,0.0000,1077773.4000,0.0000,6954474.6000,0.0000,1581146.6400,0.0000
927,45803412.0000,462066.8256,2115905.7960,43788535.2000,13937937.9840,1317356.2656,2091614.7600,53595957.6000,71285.2092,41467125.6000,98714070.0000,9883385.6400,58681.9404,27978732.0000,169911.4320,67608986.4000,71105166.0000,8676030.2400,33496480.8000,5343013.3932,47877897.6000,1099.2744,15772330.8000,162225.4028,148579.9200,38130189.8400,5626402.2000,3274753.6800,1760041.4400,24046768.8396,1519436.3134,2731773.7440,25892708.4000,0.0000,24846235.2000,67804.7220,14419085.7600,0.0000,21792389.0400,9218591.3736,4392508.3200,28167012.0000,0.0000,24173083.0800,39652720.2000,9272.5920,4511508.1200,3484076.0760,16697152.0080,2349165.0780,37367578.3320,112517.3520,12270054.2400,9464009.5656,18811877.9040,890134.5240,26105955.0480,563010.4800,11910720.2400,3252.2472,30460189.3200,260272.4040,27578738.2320,483649.9200,14239185.4800,15813858.6000,28933704.1800,302763.3480,56387428.3368,778096.7604,56276264.8800,781317.2880,2260873.0080,369675828.0000,207612360.0000,202073364.0000,414970092.0000,0.0000,279908784.0000,0.0000,302158296.0000,23601628.8000,4634312.2560,415728432.0000,52099808.4000,11239441.5600,90439005.6000,51041912.4000,133974216.0000,0.0000,4297401000.0000,4327047720.0000,22950878.4000,0.0000,1077753.6000,0.0000,6248333.1600,0.0000,1648836.0000,0.0000
928,28697709.6000,2066546.6532,4998589.2000,45648014.4000,6268797.0968,5007277.4292,450365.2452,54562539.6000,0.0000,55649106.0000,66834597.6000,23853074.4000,0.0000,25912501.2000,0.0000,88126430.4000,17636664.2400,15650413.9200,42500588.4000,7932029.7600,7627431.0960,6581058.5880,1834120.8288,4898455.6104,0.0000,58147671.6000,3151346.4000,4001580.3600,719.4024,49899834.0000,15906.6805,15060652.5600,682438.0594,4352991.4080,7650666.3600,5468354.3520,77417.9033,4745182.8096,29107.8756,40630276.8000,9307947.6000,14161532.0400,0.0000,22433579.6400,280817.4600,18056796.1200,9257007.6000,1091834.6400,0.0000,34543512.0000,0.0000,30386519.6400,14335722.3600,3138956.2800,0.0000,25160450.4000,0.0000,27876628.8000,985340.8800,4193487.8280,0.0000,29223399.9600,0.0000,27049743.0000,13201635.2400,14301774.3600,0.0000,30640451.0400,0.0000,57801279.6000,0.0000,57863826.0000,33840370.8000,230127516.0000,86373201.6000,356751864.0000,407971656.0000,0.0000,321743340.0000,0.0000,343031796.0000,21684492.0000,24963098.4000,344899008.0000,122705388.0000,0.0000,148768380.0000,26526884.4000,85881524.4000,0.0000,4572016560.0000,4506100200.0000,21720160.8000,0.0000,1080327.6000,0.0000,5863503.2400,0.0000,1827272.5200,0.0000
929,52050927.6000,0.0000,4291806.6000,59946865.2000,20791612.8000,292171.8816,146068.4808,78992665.2000,0.0000,72725227.2000,113603659.2000,13285705.3200,0.0000,30474838.8000,0.0000,104677905.6000,39580203.6000,3921221.0160,69149451.6000,6192046.4400,33481648.8000,4253964.1920,6230676.2544,913197.8308,944148.7998,43841865.6000,7360261.9200,828822.7440,5500075.9320,29225741.4000,0.0000,21635157.6000,11928421.0440,221037.0840,23673016.8000,89037.2880,8258097.2760,25739.7840,10609727.6880,20945152.5156,14333894.2800,13018757.4000,0.0000,20951878.6800,18347111.2800,604783.8720,4105940.7600,2233955.0520,5711344.5240,14672873.9520,17506138.1760,2540119.6512,6692761.8000,4207148.1720,3793275.7200,10595504.2428,8788114.9656,3567531.0816,9754908.4080,106426.0458,8697649.8240,5956754.0688,8545864.3560,4569725.4480,7595289.7200,6370112.3400,9127353.6613,5188676.5145,17740369.0836,9831305.7000,17909787.1032,10000077.6564,101719465.2000,102510266.4000,46632056.4000,453150000.0000,415211760.0000,0.0000,366498792.0000,0.0000,404326620.0000,37868979.6000,27104248.8000,214707708.0000,186863652.0000,0.0000,204945012.0000,18053568.0000,54356364.0000,5661246.4560,4966071480.0000,4973838840.0000,19904223.6000,0.0000,1102176.0000,0.0000,5999486.0400,0.0000,1920352.6800,0.0000
930,49140676.8000,2927333.8548,3399328.8000,52931109.6000,24340284.0000,28631.4163,0.0000,75638257.2000,0.0000,67899916.8000,109880002.8000,15515359.2000,6703.2835,25688041.2000,0.0000,94202294.4000,43432664.4000,17460291.6000,73066593.6000,5728942.0800,32872514.4000,9537287.4000,3815469.7200,1953541.6826,3482777.5920,30880436.4000,11828113.2000,0.0000,10072730.1600,25059441.6000,0.0000,22881448.8000,11204359.9200,603683.7984,24227330.4000,28763.5207,9737489.1600,795.0132,12249744.1200,16208249.7600,13094033.4000,10041398.2800,0.0000,20044514.8800,20577419.1360,698543.4600,3271300.9200,3162182.6088,5188631.4598,9510450.2280,20853607.6800,1372982.0364,4710114.0000,4861177.2000,3284859.5244,8328529.9080,10607794.1280,1364422.3596,10025175.2400,145734.3288,9021747.0240,4560449.1660,9284645.5200,2802159.2369,8270494.2000,5656613.7600,9792440.8128,2875635.8928,19095417.5652,5742137.3076,19184399.0280,5848494.3720,231004872.0000,24507189.0000,24325079.0400,669841596.0000,452241900.0000,0.0000,391131432.0000,0.0000,429183000.0000,37856048.4000,121016476.8000,131412524.4000,216677556.0000,0.0000,224054748.0000,7533837.2880,66486708.0000,5323307.0400,5534073720.0000,5547061080.0000,18940748.4000,0.0000,1101901.3200,0.0000,6715239.8400,0.0000,1750997.5200,0.0000
931,27326674.8000,21407004.0000,6428258.8920,16222057.9200,29914595.6400,663059.2414,13807.1880,41386428.0000,815087.9376,34789298.4000,69383196.0000,30825576.0000,1951345.3320,6906144.6000,527683.2516,40044061.0800,42002276.4000,47357056.8000,46684216.8000,3324338.2800,20227330.4400,19645452.0000,2682329.4756,8826904.4292,17898784.2000,14254357.3289,12340592.2800,0.0000,21015252.6156,14082023.1600,0.0000,21704454.0000,5892364.3608,5859076.4928,15403302.2232,2492643.6360,7986219.7680,1202082.8868,20960690.0400,8710478.9676,11265036.1200,10293792.8400,0.0000,20545980.1200,17639188.0992,6651011.9556,3162505.7880,7219318.5000,15935254.9740,7434704.4912,22512871.6153,5169757.1652,5022355.6800,11135058.8400,11295116.6040,8492242.4280,17299940.0400,4818124.5480,5991590.5200,984806.4780,16439772.0384,8419748.7600,16941864.8520,6060402.0324,13182783.1200,11569946.7600,16976939.6880,7323431.0400,33957607.3200,13462965.4756,34112005.3296,13660429.6800,341551260.0000,1297125.3456,13616291.7634,858357072.0000,523915776.0000,0.0000,478806984.0000,0.0000,617278932.0000,139063363.2000,246057408.0000,144745272.0000,237814632.0000,0.0000,237289752.0000,0.0000,62631241.2000,18020671.2000,6685648200.0000,6695777880.0000,19405872.0000,0.0000,1111551.1200,0.0000,7167115.0800,0.0000,1512956.1600,0.0000
932,38107792.8000,32501379.6000,18393368.4000,30742560.3600,36047970.0000,281598.4440,178785.8158,53539934.4000,1380714.5052,49654893.6000,77506819.2000,50208775.2000,11355629.7600,2536555.3560,2068651.2600,44488213.2000,42520226.4000,62327527.2000,44655192.0000,872045.5104,13975951.4928,31509187.2000,2934970.1280,7400335.2840,19986596.6400,20933679.6000,8508947.4000,0.0000,28867069.4400,15570464.7600,0.0000,29573125.2000,161040.5568,13762283.7600,9965745.1080,6294062.8800,2900307.9269,2797797.2400,14876822.1600,8006743.2564,19100350.8000,10354912.5600,0.0000,22118049.0000,5488725.6468,15985034.2800,2846606.8320,6493095.8280,9187500.3120,7021949.8446,7202769.7752,10125914.5584,5438001.2400,13691016.0000,3054141.9972,10025191.0656,6288569.9208,8130173.3280,1976915.5920,3433907.0225,3955984.5240,12862105.2000,5475341.5200,9281736.4680,8949300.4800,7157247.1200,4928594.3280,12253627.1520,10382085.7560,21593899.8540,10441189.2600,21711495.9312,358592400.0000,21525.4080,31840318.8000,907676244.0000,504959112.0000,0.0000,471252528.0000,0.0000,669078720.0000,198546840.0000,208008864.0000,154828260.0000,304187760.0000,0.0000,303586272.0000,0.0000,55948503.6000,22747939.2000,6549045480.0000,6526110240.0000,21238484.4000,0.0000,1103996.8800,0.0000,7365583.4400,0.0000,1305771.4800,0.0000
933,47862583.2000,33546661.2000,21557538.0000,44798227.2000,40614012.0000,987052.6976,833445.1440,70108628.4000,901609.2396,65297887.2000,89784612.0000,57663298.8000,19497844.8000,2271776.9688,2228928.1949,51344067.6000,50685843.6000,70071973.2000,49599748.8000,31392.0612,16941349.4400,35123342.4000,4135412.1240,6141624.1560,23399040.9600,23936853.9600,10022262.8400,0.0000,36993445.2000,16214040.3600,0.0000,33754363.2000,1004617.6128,15097738.3200,12058421.4000,6305428.8000,4440344.1912,1811165.9796,18879952.1616,5271958.3694,22639809.6000,12373522.5600,0.0000,23280480.7200,9694177.2000,14053171.6440,2255653.2663,9399911.0400,12475777.6440,5889326.6160,13999986.8640,5504705.7192,4153779.0000,16945822.8000,3930068.4984,9787647.6360,11337977.1600,3537551.4012,3716904.9600,2882326.1998,6206381.5439,10902230.0964,8560173.7332,5812489.8324,11302840.0800,6147229.2840,8170147.9184,7549210.3320,16780903.3440,13348349.3520,16883862.6600,13389105.6000,388257408.0000,0.0000,34850498.4000,889338744.0000,470836800.0000,0.0000,455328324.0000,0.0000,617212980.0000,161141004.0000,210987720.0000,135345600.0000,313875324.0000,0.0000,314474040.0000,0.0000,41691679.2000,25648880.4000,6589967400.0000,6605506080.0000,22130121.6000,0.0000,1084427.2800,0.0000,7470096.4800,0.0000,1198525.6800,0.0000
934,80195360.4000,36144968.4000,32073170.4000,67830984.0000,66582982.8000,2868753.9960,1858928.8680,94905054.0000,1106187.4440,81983437.2000,138563438.4000,63742071.6000,37936807.2000,437471.7480,4998035.7720,45956689.2000,85644590.4000,69933229.2000,61300036.8000,235377.2592,36201290.4000,29378764.8000,11809127.5920,2202820.8840,40573800.0000,19274591.5200,13697839.0800,0.0000,65685024.0000,11532434.0400,0.0000,36509410.8000,8498033.8236,8228734.1064,27140884.2000,6799262.0400,13681618.9920,1013424.1560,49800886.5600,1376749.3680,29372623.2000,16040714.4000,0.0000,23364838.8000,33467239.0440,9215144.2440,5039154.7200,16476699.9600,38796157.5480,2209773.7764,44936623.7280,5055949.4400,8174269.0800,24145758.0000,26007756.4800,6133055.7308,35661187.8000,3784342.2120,9682354.0800,1919951.4564,34598706.8400,7445967.8400,35329314.2400,4516248.4560,22353148.0800,21278296.0800,34602163.5960,6416094.6000,69864971.4000,10726601.0400,69942223.0800,10670779.4400,553167288.0000,0.0000,5287640.0364,990670320.0000,494355528.0000,0.0000,514137852.0000,0.0000,653422536.0000,137537928.0000,285697152.0000,178161660.0000,448916148.0000,0.0000,450532440.0000,0.0000,27042732.0000,45497444.4000,7389703080.0000,7479375120.0000,22411285.2000,0.0000,1038750.1200,0.0000,6403017.6000,0.0000,1372614.8400,0.0000
935,84699777.6000,19397076.4800,21461396.4000,76803825.6000,62774218.8000,9350897.4000,1681891.4520,102541384.8000,88132.6080,88084447.2000,123704600.4000,35830468.8000,39471375.6000,968027.1480,1580365.0440,46731934.8000,73792893.6000,37032400.8000,56064146.4000,87639.6996,39056572.8000,8920388.1600,10866287.7720,906020.4960,26497945.8000,12277937.1600,13086259.2000,0.0000,50015001.6000,8202129.4800,0.0000,26941294.8000,18841321.4400,20234.0880,28634331.6000,2723199.1200,17612628.1200,0.0000,51446574.0000,0.0000,16990480.8000,16163344.8000,0.0000,23895271.4400,47162944.8000,0.0000,4122171.7200,13597990.2000,44071167.6000,0.0000,59171630.4000,0.0000,8430595.9200,18875847.6000,35703975.6000,0.0000,47421673.2000,0.0000,12632009.7600,30334.5913,49400312.4000,0.0000,48653319.6000,0.0000,25612682.4000,26549391.6000,48820820.4000,0.0000,97530375.6000,0.0000,97541632.8000,0.0000,586321956.0000,0.0000,4509948.9492,946721160.0000,453431520.0000,0.0000,482596380.0000,0.0000,651913596.0000,169430544.0000,343737180.0000,182824236.0000,425460960.0000,0.0000,425505600.0000,0.0000,19126058.4000,48331306.8000,7053284880.0000,7150659120.0000,22515454.8000,0.0000,999157.3200,0.0000,5939368.2000,0.0000,1402260.4800,0.0000
936,65469981.6000,18128340.0000,14807592.0000,54297500.4000,54225144.0000,9735726.6000,481723.5276,77543812.8000,107439.2568,64750503.6000,99364032.0000,33021892.8000,31191832.8000,163932.6780,400153.2228,30647476.4400,59790308.4000,35667457.2000,45094147.2000,2291.7816,28041310.8000,9625971.6000,7747658.2800,638064.7092,24048198.0000,7180294.5000,11091225.6000,0.0000,41638413.6000,5805237.2400,0.0000,21409016.4000,11809008.7200,10.6999,20337354.0000,2207214.0000,12847734.7200,0.0000,41902578.0000,0.0000,15363148.3200,15555236.4000,0.0000,20942085.9600,33487329.6000,3063.4344,2791445.9760,11451990.9600,33506046.0000,0.0000,41557975.2000,0.0000,5647699.4400,13766598.0000,25322155.2000,0.0000,33012986.4000,0.0000,8465655.9600,43697.6648,33581757.6000,0.0000,33114020.4000,0.0000,17635982.4000,17755937.6400,33438186.0000,0.0000,66609720.0000,0.0000,66679686.0000,0.0000,588772152.0000,0.0000,10238654.7360,913595724.0000,383036580.0000,0.0000,440439948.0000,0.0000,597355956.0000,155986668.0000,360109440.0000,165702348.0000,396463320.0000,0.0000,397508940.0000,0.0000,7659760.3200,64295049.6000,6683514120.0000,6768264240.0000,19852430.4000,0.0000,945878.7600,0.0000,5862427.2000,0.0000,1330128.3600,0.0000
937,40142750.4000,20390130.0000,23655981.6000,34765614.0000,50611809.6000,13257247.3200,5172815.1600,46598374.8000,5525389.8000,35124271.2000,57918204.0000,43154283.6000,49083897.6000,0.0000,29684483.6400,6408101.1600,36941511.6000,29776924.8000,22127857.2000,10298546.6580,12551697.4320,3076571.7000,3030352.9920,2581772.1768,38065096.8000,0.0000,9175937.4000,0.0000,42408554.4000,482706.5760,432515.5596,10004811.8400,11925486.3600,0.0000,12750220.8000,4818710.1600,11755095.1200,0.0000,51431349.6000,0.0000,8580016.4400,20253344.4000,0.0000,19641321.7200,36162468.0000,0.0000,1588160.9311,13118651.2800,41414353.2000,0.0000,46828087.2000,0.0000,6495396.1200,16003566.0000,33326856.0000,0.0000,39332401.2000,0.0000,8355225.9600,195843.7192,42275138.4000,0.0000,40971348.0000,0.0000,21105543.6000,22425120.0000,41327910.0000,0.0000,82468530.0000,0.0000,82588284.0000,0.0000,584903556.0000,0.0000,17147149.2000,783429588.0000,266158584.0000,0.0000,358810704.0000,0.0000,483113052.0000,123033672.0000,372689604.0000,143469180.0000,358198092.0000,0.0000,359443728.0000,0.0000,82901.3969,91733457.6000,6274039320.0000,6379692840.0000,18526172.4000,0.0000,888579.0000,0.0000,5751631.0800,0.0000,1245160.4400,0.0000
938,33630364.8000,19146391.2000,29980026.0000,34527693.6000,51311235.6000,19168336.8000,8615165.0400,34936772.4000,13631397.1200,24866877.6000,43025475.6000,49566060.0000,60991657.2000,0.0000,59232564.0000,4495157.2800,21343134.6360,12939231.6720,22589247.6000,33322561.2000,14863116.9600,6799564.4436,4441852.7352,1760727.0024,47036552.4000,27837.6120,5070565.8000,857166.8904,44423384.4000,354160.1592,6679592.4600,2479338.4219,13783996.0800,0.0000,7034162.7204,7605252.3600,11097545.0400,0.0000,58574217.6000,23743.4760,4490601.4620,29283933.6000,0.0000,19223224.9200,38938748.4000,0.0000,1202004.6336,14627106.0000,46176624.0000,0.0000,48737055.6000,0.0000,7738018.5600,16981999.2000,37616587.2000,0.0000,41205567.6000,0.0000,8046605.8800,346633.9560,45503744.4000,0.0000,43229574.0000,0.0000,21985729.2000,23963896.8000,43572654.0000,0.0000,86842108.8000,0.0000,86875567.2000,0.0000,503845056.0000,0.0000,24900220.8000,637206912.0000,196301916.0000,0.0000,309024864.0000,0.0000,443509740.0000,134090856.0000,306091080.0000,141671412.0000,340610688.0000,0.0000,341233956.0000,0.0000,330906.6698,112674600.0000,5666681880.0000,5763193920.0000,18127778.4000,0.0000,828153.2160,0.0000,5597436.2400,0.0000,1120533.1200,0.0000
939,12847371.4800,23689843.2000,37235466.0000,23952978.0000,33390853.2000,25295565.6000,15679220.0400,12219318.7200,20244308.4000,13062252.2400,15364223.6400,79193109.6000,61772616.0000,0.0000,71027636.4000,2600823.1320,7252250.0400,33005043.7200,17312850.0000,54448524.0000,12279839.6880,34591385.1600,3181649.7384,5615925.4699,36226458.0000,4390236.1080,1806726.3840,6178765.6800,31848825.6000,9995394.7008,12908495.1600,0.0000,5972719.3560,7637327.4600,935087.0760,25441415.6400,3460516.9330,4656719.9052,38996438.4000,7656379.4232,2912239.7280,34998681.6000,0.0000,18525087.0000,17438115.5676,9147757.5720,879822.9288,11544333.8400,25100209.4856,3610578.2400,23468691.8160,10970401.2840,6514023.2400,9954295.5600,21689710.0700,2589470.3520,21136399.2000,7092269.5320,3427003.5419,4442753.0520,24732037.1880,5960603.0520,23235697.5484,6103697.9652,14274925.5600,17187536.5200,23243968.7820,7162733.0160,46482441.1056,13274819.9964,46470262.5360,13285798.9560,438593112.0000,0.0000,34918700.4000,517937148.0000,77135918.4000,0.0000,173011176.0000,0.0000,281919492.0000,108910497.6000,285367752.0000,145180944.0000,297609804.0000,0.0000,297135036.0000,0.0000,7294039.5852,103249692.0000,4742943120.0000,4771503360.0000,17757457.2000,0.0000,761488.9920,0.0000,5539165.9200,0.0000,1100027.5200,0.0000
940,7077480.4800,19588833.0000,31354682.4000,20540878.9200,21088229.0400,17454884.4000,15799746.6000,9923868.7200,19999050.8400,8419863.1680,12605221.4040,67879699.2000,45006530.4000,0.0000,57578198.4000,1775335.8240,5962802.0760,35480471.8576,14967727.2000,41523260.4000,3590179.2648,34064517.6000,4150075.3200,3542259.3516,32659533.0000,3841731.5508,2280619.9080,6178525.2000,30002270.4000,9371885.1120,12711050.2800,2102.9868,458905.4136,8804119.7376,93723.4800,26155537.2000,627740.0604,4662596.3508,35501997.6000,5980149.7920,3309057.5760,34138789.2000,0.0000,17932569.8400,6108138.4993,6791881.2588,305757.8553,11988276.8400,19934449.5600,2051952.9764,7331447.4480,7475867.5680,4525674.3360,5194981.8000,17322286.3200,264890.3832,6733077.6496,2262524.3305,378848.9491,5190322.9680,12868927.1280,847595.8800,9481291.5240,1280368.0487,4140746.1360,8018619.1200,9477977.6880,1503940.8672,18999570.4920,2932418.3004,19037140.8840,3060111.8880,252624564.0000,4327572.1500,51402434.4000,457108524.0000,171860868.0000,0.0000,230906304.0000,0.0000,390643776.0000,160861212.0000,136019880.0000,173611872.0000,284396220.0000,0.0000,283778352.0000,0.0000,9920330.6400,69774609.6000,4771076040.0000,4771119960.0000,17128533.6000,0.0000,768519.2520,0.0000,5544219.6000,0.0000,1213352.6400,0.0000
941,9837790.5600,14874602.9400,39211124.4000,24933265.2000,22764998.1600,27544550.4000,33086142.7200,5998310.6400,42148180.8000,2790124.5852,16579486.8000,79086834.0000,58364928.0000,0.0000,100884913.2000,399864.1216,23740264.4400,32146753.0680,15224673.6000,66952440.0000,19190381.4000,31931013.6000,7010191.4040,1960119.6534,53450690.4000,3517013.9880,1899722.0880,9074463.4800,47145535.2000,9375549.8040,24412654.8000,0.0000,6345364.1400,2299804.8264,126157.4280,24091578.0000,1789089.7716,1428090.7680,56275005.6000,1780409.3796,5265969.1200,46647550.8000,0.0000,17603983.4400,21291561.6480,1080995.2056,43636.4568,16088264.6400,37958886.0000,150058.8720,24476410.8000,2746157.9184,8979894.0000,11042927.2800,34718598.0000,0.0000,22913278.8480,310974.9480,1799162.2656,3181369.5360,32563161.0000,44223.3263,27136977.3360,92183.4000,12186425.5200,16930231.5600,27582697.6452,210880.5192,54693786.2220,425072.5200,54656758.6272,493365.6000,278241912.0000,2127.6288,52421875.2000,442172448.0000,164261520.0000,0.0000,204519492.0000,0.0000,269922672.0000,66371562.0000,156481632.0000,185414472.0000,305531964.0000,0.0000,304652520.0000,0.0000,1686119.6268,42640830.0000,4465421280.0000,4502969640.0000,16862173.2000,0.0000,806369.9400,0.0000,5475328.9200,0.0000,1229908.3200,0.0000
942,17502256.4400,43734772.8000,32872053.6000,21188206.8000,9750289.6800,41167785.6000,39811582.8000,10979142.2702,34568342.6508,10330141.9320,29911106.1600,104918886.0000,22620875.0400,16534757.9988,46435435.4160,23596557.8400,34097670.0000,76547946.9600,14499442.9800,53333211.9600,13222126.7280,48880360.8000,4119993.6840,14134102.5283,19708252.3368,40550385.2400,169888.8600,8942369.7600,14582859.3720,57440005.2000,17421193.8000,1146516.1560,5587577.5320,18887769.2952,2229002.4960,34535043.0000,1278272.4804,15218477.2800,15443374.3200,46980893.8800,8397758.5524,39960464.4000,771.5167,17487106.1640,10235357.7768,37237610.6820,9012376.1412,9878976.3600,9633074.7240,43143317.6040,8402277.9600,50394481.0200,23545155.6000,8718918.4800,10956498.6600,29817722.8800,6779222.3340,39566824.2360,1507111.9956,10353393.1800,10811460.6000,37990160.4960,7991570.1600,36149714.2800,21034297.0800,25348923.7200,8529846.1200,39607539.4800,16276522.6800,75312718.2000,16127663.4000,74991134.5200,117115821.7200,59729903.6400,91910624.4000,236371392.0000,54882209.0880,23290360.4736,45696358.4400,63396283.6800,144642110.4000,160026440.4000,176083819.5600,128515489.2000,72422849.3184,59061385.8000,112289313.6000,97225352.2080,77275842.1200,26232566.8907,4239499680.0000,4216217040.0000,17025872.4000,0.0000,830815.4520,0.0000,5532354.0000,0.0000,1223435.8800,0.0000
943,24103815.8400,13034115.3600,13170895.2000,31166305.2000,11290791.2400,17054532.0000,7684927.9200,23407751.5200,1497224.2356,11293692.1200,64919930.4000,18075225.6000,0.0000,45038437.2000,39409.5060,55499788.8000,31913454.9600,10977991.2000,35253129.6000,11152743.4800,14768367.1200,4996548.5760,10269936.6793,266898.7080,32123.0466,31987476.0000,3515631.6888,181578.4589,542759.9040,21057933.9600,1071127.6380,6143330.1240,5543938.5084,1408544.4096,10072707.8400,1559805.3932,4615051.6872,474955.8840,8724009.4560,12341787.8400,6563549.0520,19388286.7200,0.0000,17779506.8400,12918404.0952,2574268.7400,1677990.1320,4069376.2800,4024393.9092,10323570.9064,11630258.1612,5644513.3140,7918192.9440,3921301.4760,4551665.7564,7078649.0184,7388748.7200,6218218.0440,5307394.8240,634778.6688,8924628.2760,6868650.4560,7983500.9760,6139963.9800,7047632.8800,7702593.4800,8397340.6392,6975649.7028,16317748.2460,12993252.9300,16393415.6880,13012848.5760,19378903.0680,228425796.0000,113105678.4000,291881844.0000,392354388.0000,0.0000,307749717.4248,2546474.4000,402224040.0000,96044385.9600,4677429.6000,415581948.0000,203670936.0000,508529.3040,212410814.4000,8616482.6400,93252963.6000,5479706.5200,5308805880.0000,5325672960.0000,16863066.0000,0.0000,842315.0040,0.0000,5687092.8000,0.0000,1194008.4000,0.0000
944,21472061.5440,22741675.9200,18176086.4400,17391722.7600,19252638.4680,9967185.1656,8687159.1720,15246582.8400,8880568.9682,5739310.4040,35971998.1200,46719097.2000,24471999.1440,5265935.7480,31252041.9360,7412327.4600,38659615.2000,43532175.6000,9632817.0000,15587623.5876,11418015.6360,18238638.7800,6353014.3229,5151542.1300,24395814.5040,6035437.9656,4910824.4400,424620.8280,34397859.9600,3138394.6944,634749.7284,16798415.0400,3051804.2699,7741603.0980,9436470.6816,7594440.8400,5131102.8672,1977369.6359,34220937.2400,3109005.0828,15758205.4224,17375853.6000,0.0000,17835570.7200,12247042.3272,7992580.8024,2400807.7080,8827477.2000,24453701.2800,579550.1256,13920346.3176,2948133.3120,3419805.8880,11338103.1600,14941734.8400,274062.2184,13869385.2126,589875.9156,2424272.7600,5751876.2677,12272702.9940,2107805.4936,13432833.0000,1299337.5600,8113209.1200,7543758.6000,12398725.7460,2337500.9880,25686031.5144,3772467.5220,25655259.7440,3925189.0800,279380808.0000,24591983.7600,56106954.0000,742533192.0000,450448632.0000,0.0000,463287816.0000,0.0000,572963040.0000,111807162.0000,54580150.8000,168374592.0000,365421240.0000,0.0000,365999976.0000,2131823.7360,23310090.0000,37699254.0000,6385162320.0000,6373086480.0000,16903191.6000,0.0000,855688.1400,0.0000,5500734.1200,0.0000,1363717.8000,0.0000
