day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
18,30.46046,27.97137,27.40350,29.91787,27.87150,28.78687,29.95200,29.12371,28.80946,30.58729,29.76042,30.42708,30.20221,29.09154,29.37379,29.70296,29.48592,29.29850,29.13979,29.62942,29.31188,29.53883,29.25967,28.60792,29.02992,28.80433,28.41996,28.58817,29.05292
19,12.18692,12.67163,10.62133,10.72067,10.24263,11.70954,10.95446,11.17417,9.76788,12.92896,10.62492,12.25075,11.28371,9.67813,9.97092,10.58937,10.00054,9.73396,9.53538,10.32500,10.19196,10.21167,10.58279,8.83617,9.80512,9.21221,10.26675,12.70146,15.76417
20,23.44912,19.68921,19.30167,22.35317,19.59462,20.19696,23.28721,20.45117,20.58137,23.38129,22.98879,22.81429,23.19683,21.29850,21.59658,21.59833,22.05625,22.13696,21.71338,22.54417,21.13242,22.59917,20.69942,21.40392,20.91475,21.06492,19.99450,20.15063,21.21558
21,14.53654,16.58742,15.48012,14.04804,14.85721,15.24462,14.29417,14.74146,14.34117,14.60342,14.14338,14.51154,14.35013,13.96508,13.86008,14.03042,13.77646,13.70671,13.72762,13.96596,14.07146,13.94404,14.31825,14.16158,14.16462,14.13054,14.60896,16.11562,18.70096
22,20.72371,18.02900,17.91492,18.62346,17.59842,17.26954,20.24475,17.19862,17.88771,21.12750,19.87142,19.36579,19.92717,18.19008,18.08638,17.70283,18.50163,18.80979,18.46296,19.21617,17.73158,19.38358,17.34771,19.08596,17.94046,18.45921,17.50263,17.56208,19.06329
23,29.36179,25.02092,26.11621,28.66879,26.89325,26.38321,29.83292,27.12175,28.58904,28.94525,29.66413,28.42467,29.46721,28.87342,28.56913,27.98804,28.84425,29.19192,29.06638,29.27204,28.21313,29.44513,27.70675,30.32375,28.67892,29.50375,27.37854,25.56237,24.58279
24,24.33308,24.22304,22.40604,21.89379,21.41808,22.07167,23.39937,21.30871,20.65317,24.65767,22.79467,23.35371,23.43750,20.67917,20.81521,21.04983,21.14204,21.14504,20.72175,22.00262,20.77054,22.02933,20.83638,20.66437,20.63433,20.54037,21.06983,23.37162,27.20196
25,32.59346,28.18542,27.17292,30.19354,27.35700,28.19771,31.70346,28.30567,28.35629,32.98438,31.14908,31.44258,31.68412,28.88075,29.09667,29.16225,29.57996,29.64442,29.15438,30.39846,28.74821,30.44992,28.42254,29.14096,28.61392,28.78321,27.76542,28.48217,30.59146
26,34.17042,41.90675,40.43158,35.43825,39.50142,39.57458,35.07312,38.69538,38.36112,33.74975,35.35046,34.67504,34.78438,37.12183,36.41288,36.27779,35.82896,35.89904,36.41717,35.57517,37.10846,35.63154,37.82967,38.00729,37.75771,37.91125,38.92300,40.90129,44.14738
27,36.21892,47.94354,48.41646,39.60833,47.23571,45.62225,38.33179,44.80288,45.52196,35.23858,39.12838,37.45242,37.79679,43.36821,41.94175,41.31475,40.81233,41.04375,42.19842,39.92788,43.02875,40.04846,43.97225,45.43996,44.41833,45.07971,46.15733,46.47504,47.20708
28,49.67112,53.71333,54.08800,50.79600,53.42008,52.58229,50.51650,52.27629,52.84283,49.18625,50.75900,50.05354,50.29150,52.09400,51.54458,51.26054,51.20267,51.32117,51.70742,50.96912,51.83771,51.03179,52.04150,53.26967,52.42575,52.87100,52.93492,52.93279,53.55183
29,48.84833,54.34250,54.73825,49.87325,53.75033,52.37088,49.92829,51.82950,52.78279,48.70721,50.33617,48.77346,49.28475,51.96492,51.14017,50.38446,50.80367,51.21529,51.65658,50.55767,51.37804,50.77325,51.53133,53.64029,52.25367,53.00012,52.97692,52.99458,53.97283
30,47.75800,48.91637,49.13787,47.42779,48.53742,47.92804,47.73046,47.72208,48.28192,47.94742,47.73104,47.58404,47.56562,47.93033,47.60958,47.39196,47.54337,47.66183,47.77179,47.63996,47.66308,47.70758,47.64050,48.92754,48.05196,48.48038,48.20183,48.23425,49.09358
31,52.99238,49.78954,51.35654,52.39617,51.11492,49.48779,53.64337,49.89329,51.91975,52.63217,53.59279,51.81887,53.08450,52.57667,52.37967,51.52025,52.88313,53.39300,53.14550,53.25563,51.61921,53.50700,50.67608,54.33771,52.04925,53.15650,50.98458,48.95525,48.16242
